,Url,photo
19,https://kino.mail.ru/cinema/movies/507516_hatiko_samyj_vernyj_drug/,https://resizer.mail.ru/p/46a4f3cf-3c8a-5584-b8b3-18c3c97ff20d/AAACZ58JeQul5GbMvadB-bSeqOaT5Woq3qkYa3MB8DqFT6hEdxJQXPpz55uYPF0ONQbGBY1X2fBV-vftc5RA04Lag7U.jpg
20,https://kino.mail.ru/cinema/movies/920493_poslednii_bogatir_3/,https://resizer.mail.ru/p/509546ac-bd03-576a-99a9-1c2acf11c8bc/AQAC0viXxfWDmuYGG8adbY1W-wRWecgIMcLvEx2hyyqfz-sKh2dX7JaWMO60AuuPtFujO-ouqSgCWOlSLVtIvX0B9ic.jpg
21,https://kino.mail.ru/cinema/movies/912683_aritmiya/,https://resizer.mail.ru/p/36ef4f82-9431-5a0e-b79c-4670e8ce7c4e/AAACJWWRKT4lNJS441BWm9wBU5kzkHs6MyIjZIQflWjmRjH6TKZk9fSJCHf54OjiOIHCizxwG0LtWgVCTzyVpTxibfU.jpg
22,https://kino.mail.ru/cinema/movies/894497_istoriya_odnogo_zemletryaseniya/,https://resizer.mail.ru/p/2c644c22-87cb-57eb-8af0-21fd6d9c3ba0/AAACS_kid02ReRox3w58xPidIK8JjdJRN637W6Wu96bDXpdZujsQmnhD2Di3tD0AS7_zsYlSsPTfZcrDUekxDUAaf6I.jpg
23,https://kino.mail.ru/cinema/movies/911970_poslednii_ekspress/,https://resizer.mail.ru/p/3e52fe56-ef40-5fce-bf93-4a07a7a55ee9/AAACUTWbFZ_yTvIE99Tl7bwkbeGBPJeYdtK6U9ZMmOcse-Pk58JzPK4l8XahKOgH3PIhRuNXuYHwVi0hHwZFEm-79us.jpg
24,https://kino.mail.ru/cinema/movies/836252_ekipazh/,https://resizer.mail.ru/p/97600f5f-1e87-5c2e-bdc9-b2feca3517cd/AAAC240Ul_rospb7UcABgJ-2kWEmd56CBJXEP04CxfjZ7G3m5IfFb4x8nYReZMDoYBvFs-kMDx6rfjaWrc6lHrDFOHs.jpg
25,https://kino.mail.ru/cinema/movies/761378_luchshee_predlozhenie/,https://resizer.mail.ru/p/aad6cff7-921e-5c79-9cf1-2eed395a5c69/AAACrRvm70-0j1GLu2wbA4X9sWVkc2055beLNeTsPP2Ip0kkdGENOhJW5b9PwxP8A2spIa-1OOfBSA7Q9nd83CJGuTY.jpg
26,https://kino.mail.ru/cinema/movies/597423_brestskaja_krepost/,https://resizer.mail.ru/p/66b68516-3dd9-5d6e-a16e-ffd2e25dc4a5/AAACFCf6m5HLb1sLdF87QzJoCtw2cE0xEuNlHjeMCz6hVmhMIlbMq4tmdRBqe44xs-SsLBA5ujflkOpBqjSM1qqJ5PU.jpg
27,https://kino.mail.ru/cinema/movies/706111_voroshilovskii_strelok/,https://resizer.mail.ru/p/064df234-16d4-50e6-8b7e-30e6afcf0ffa/AAACwKUGvSMeVLtQ7rODb7XFQt3_7RLivKd5cQtiSZaY-GNW4VMngD4pPBp3ExtQTvvf1hB6BMVE8evUatdv7RXNVsg.jpg
28,https://kino.mail.ru/cinema/movies/591671_brat/,https://resizer.mail.ru/p/3ad13f2b-056a-5fc2-894f-d56e8f946c7a/AAAC3xc4B52T5LooTgg3OPVDifZBy26BqlTmTV1IZpFQF1O_nyZu06p8LqBaT1rmu95l83F7wAH_qvYd9UWA9pM_6cs.jpg
29,https://kino.mail.ru/cinema/movies/585681_leon/,https://resizer.mail.ru/p/47092270-afd5-50d5-80ff-b3f5cf56fe6e/AAACoydGqRsjCEs3uX0J9PQnxHin4LOc4CkzCNS3Hh2BIw0tKpH_yC_eafRZaA3JHGew2BegFelZOlFpMb4lRNi6s_w.jpg
30,https://kino.mail.ru/cinema/movies/647671_ukroschenie_stroptivogo/,https://resizer.mail.ru/p/5bab255e-0765-50be-9ab3-8ee86bfe2619/AAAC7em15KOxYm50pvBAwkbcskdppbL-yakCjfjxVdzyz7z656GAzSYBwJgY3M88jHeY3_LFPQGeD6FQzBikvb57d1M.jpg
